method,loss_kind,lr,probe_steps,initial_loss,final_loss,loss_ratio,finite
SINOS,sinos,1e-05,8,2619.824011015976,2618.5524709975452,0.9995146467804387,True
SINOS,sinos,3e-05,8,2619.824011015976,2616.059082000638,0.998562907661161,True
SINOS,sinos,0.0001,8,2619.824011015976,2607.859597726922,0.9954331232789893,True
SINOS,sinos,0.0002,8,2619.824011015976,2597.5956594409363,0.9915153264182737,True
SINOS,sinos,0.0003,8,2619.824011015976,2589.0658935009783,0.9882594718631236,True
SINOS,sinos,0.0005,8,2619.824011015976,2577.185533169054,0.9837246785785483,True
SINOS,sinos,0.0007,8,2619.824011015976,2571.755225627834,0.9816519028812548,True
SINOS,sinos,0.001,8,2619.824011015976,2571.5071803945802,0.9815572227683117,True
SINOS,sinos,0.002,8,2619.824011015976,2561.1141694617872,0.9775901582292084,True
SINOS,sinos,0.003,8,2619.824011015976,2554.149256412971,0.9749316158921928,True
SINOS,sinos,0.005,8,2619.824011015976,2527.5867037387293,0.9647925559543686,True
D-SINOS,dsinos,1e-05,8,179.19050932305976,177.6567508972105,0.9914406268967957,True
D-SINOS,dsinos,3e-05,8,179.19050932305976,174.64060379280747,0.9746085574094254,True
D-SINOS,dsinos,0.0001,8,179.19050932305976,164.62583693653391,0.9187196216945429,True
D-SINOS,dsinos,0.0002,8,179.19050932305976,151.7987264368253,0.8471359728273876,True
D-SINOS,dsinos,0.0003,8,179.19050932305976,140.73421659137438,0.785388786063702,True
D-SINOS,dsinos,0.0005,8,179.19050932305976,123.98626170520902,0.691924266377725,True
D-SINOS,dsinos,0.0007,8,179.19050932305976,114.43089590108505,0.6385990883857547,True
D-SINOS,dsinos,0.001,8,179.19050932305976,111.86523815295237,0.6242810435416102,True
D-SINOS,dsinos,0.002,8,179.19050932305976,112.02300449161811,0.6251614826857465,True
D-SINOS,dsinos,0.003,8,179.19050932305976,103.91340571592539,0.5799046283672399,True
D-SINOS,dsinos,0.005,8,179.19050932305976,99.91956596138183,0.5576163957502818,True
MSE,mse,1e-05,8,1250.1181568938223,1250.0349052892211,0.9999334050112447,True
MSE,mse,3e-05,8,1250.1181568938223,1249.8663680253728,0.9997985879438188,True
MSE,mse,0.0001,8,1250.1181568938223,1249.25551611089,0.9993099526007401,True
MSE,mse,0.0002,8,1250.1181568938223,1248.3302650749845,0.998569821733267,True
MSE,mse,0.0003,8,1250.1181568938223,1247.3543497557278,0.997789163270005,True
MSE,mse,0.0005,8,1250.1181568938223,1245.3372457178602,0.9961756325595325,True
MSE,mse,0.0007,8,1250.1181568938223,1243.4514284248828,0.9946671213179525,True
MSE,mse,0.001,8,1250.1181568938223,1241.6012315616688,0.9931871037268064,True
MSE,mse,0.002,8,1250.1181568938223,1240.0192952759119,0.991921674313568,True
MSE,mse,0.003,8,1250.1181568938223,1239.5826855828827,0.991572419572629,True
MSE,mse,0.005,8,1250.1181568938223,1236.5225885360433,0.9891245733190852,True
ID,mse,1e-05,8,1250.1181568938223,1250.0349052892211,0.9999334050112447,True
ID,mse,3e-05,8,1250.1181568938223,1249.8663680253728,0.9997985879438188,True
ID,mse,0.0001,8,1250.1181568938223,1249.25551611089,0.9993099526007401,True
ID,mse,0.0002,8,1250.1181568938223,1248.3302650749845,0.998569821733267,True
ID,mse,0.0003,8,1250.1181568938223,1247.3543497557278,0.997789163270005,True
ID,mse,0.0005,8,1250.1181568938223,1245.3372457178602,0.9961756325595325,True
ID,mse,0.0007,8,1250.1181568938223,1243.4514284248828,0.9946671213179525,True
ID,mse,0.001,8,1250.1181568938223,1241.6012315616688,0.9931871037268064,True
ID,mse,0.002,8,1250.1181568938223,1240.0192952759119,0.991921674313568,True
ID,mse,0.003,8,1250.1181568938223,1239.5826855828827,0.991572419572629,True
ID,mse,0.005,8,1250.1181568938223,1236.5225885360433,0.9891245733190852,True
GradNorm,mse,1e-05,8,1250.1181568938223,1250.0349052892211,0.9999334050112447,True
GradNorm,mse,3e-05,8,1250.1181568938223,1249.8663680253728,0.9997985879438188,True
GradNorm,mse,0.0001,8,1250.1181568938223,1249.25551611089,0.9993099526007401,True
GradNorm,mse,0.0002,8,1250.1181568938223,1248.3302650749845,0.998569821733267,True
GradNorm,mse,0.0003,8,1250.1181568938223,1247.3543497557278,0.997789163270005,True
GradNorm,mse,0.0005,8,1250.1181568938223,1245.3372457178602,0.9961756325595325,True
GradNorm,mse,0.0007,8,1250.1181568938223,1243.4514284248828,0.9946671213179525,True
GradNorm,mse,0.001,8,1250.1181568938223,1241.6012315616688,0.9931871037268064,True
GradNorm,mse,0.002,8,1250.1181568938223,1240.0192952759119,0.991921674313568,True
GradNorm,mse,0.003,8,1250.1181568938223,1239.5826855828827,0.991572419572629,True
GradNorm,mse,0.005,8,1250.1181568938223,1236.5225885360433,0.9891245733190852,True
NTK,mse,1e-05,8,1250.1181568938223,1250.0349052892211,0.9999334050112447,True
NTK,mse,3e-05,8,1250.1181568938223,1249.8663680253728,0.9997985879438188,True
