degree,N,MSE C0,MSE C1,MSE ratio,L2 C0,L2 C1,L2 ratio,SINOS C0,SINOS C1,SINOS ratio,D-SINOS C0,D-SINOS C1,D-SINOS ratio,MSE-L2 ratio,MSE-Half ratio,L2-MSE ratio,L2-Half ratio,SINOS-MSE ratio,SINOS-L2 ratio,D-SINOS-MSE ratio,D-SINOS-L2 ratio
51,2704,0.0018359147778475387,50241055.379775085,27365679489.043957,0.0042941974708844101,1044575.4081095231,243252764.96760359,0.65557176453832988,2960.5810255717774,4516.0288861078288,0.65525711745787107,11.903553216096368,18.166232611523967,11836223383.247925,105861623.41204616,565360915.46178246,572842.76608666917,1751861.5535975448,1097769.8448676192,570.16277929737191,834.36321969881237
52,2809,0.0017976766935316386,56270480.325666435,31301779974.195393,0.0041507917038609374,1127034.8830344032,271522871.64544308,0.65554842909919508,3199.8217673616341,4881.1371140932888,0.65525731116362618,11.914373191519724,18.18273980089106,13731436021.109598,118607454.47113043,623992948.39289284,618061.20378004131,1932694.263314168,1229452.9630518018,582.16225423354103,864.63233825730401
53,2916,0.0017577470548934776,62890859.552522428,35779243308.892197,0.0040160266581615155,1214276.6247487899,302357710.27094471,0.65554861536396869,3199.8225064461972,4881.1368546169779,0.65525749759596663,11.925145952785412,18.199175128154714,15877850639.802013,132606540.68395206,687199462.02449954,665902.27560236526,1972013.7986674544,1273139.5999248133,594.46989520177465,895.56628010484917
54,3025,0.0017197957477562164,70147619.197722986,40788343202.524605,0.0038887230881756015,1306481.7564291044,335966775.41831386,0.65552781004811744,3448.3541675790116,5260.4239129471771,0.65525767715912053,11.935372443479174,18.214776964117629,18301316522.016708,147955143.42600995,755196724.15190089,716465.43451431964,2167616.6021967633,1419874.1017349374,606.88149049869935,926.80172218687949
55,3136,0.0016837096105963567,78088753.59621875,46378991427.48275,0.0037678159877521664,1403834.7593583858,372585806.71714193,0.65552798294737036,3448.3548507308437,5260.4235676201451,0.65525785022492422,11.945559988899658,18.230319537261884,21032611071.29562,164755841.31866202,828219170.12278378,769849.60616064933,2210115.0671472899,1468492.0098261258,619.16535326751182,958.72507357170343
56,3249,0.0016495340835854383,86764920.228820786,52599652891.213966,0.0036523958157601002,1506523.4729578532,412475413.11300361,0.65550935482856221,3706.1774285238398,5653.8894543970773,0.65525801714932674,11.95524549890458,18.245096108728873,24103463467.704212,183116702.39365891,906543809.85868275,826160.67281150364,2421104.0433462122,1631366.8665168227,631.54413424584209,990.94234729086713
57,3364,0.0016170378093355946,96229536.383178458,59509762744.952179,0.0035417328901902905,1614739.0946428115,455917807.6684531,0.65550951604433383,3706.1780618040107,5653.8890299700124,0.65525817823629962,11.964899101908966,18.25982414155261,27552096541.98489,203150197.48808885,990470581.08701098,885503.28196454607,2466917.2764664381,1685274.1526981201,643.80526938481523,1023.8653353813339
58,3481,0.0015862650958737062,106538877.54791574,67163349824.094002,0.0034352834728174266,1728676.1798096912,503212091.08019489,0.65549277275230988,3973.2915540339895,6061.5337333938414,0.65525833379585774,11.974089864041238,18.273845972589648,31418741548.298851,224977871.83889702,1080372829.2935863,947984.30294723005,2694425.9172100653,1865416.4090406774,656.18925733655112,1057.0813423088666
59,3600,0.001557029411507849,117752177.51469566,75626174203.519257,0.0033326654957871512,1848532.6417386667,554670921.54175436,0.65549292266327519,3973.2921427522556,6061.5332452541588,0.65525848411127519,11.983254731413512,18.287828424940361,35751758554.979485,248724415.92779335,1176695034.4563849,1013708.6120780964,2744196.7212545574,1924984.1573539223,668.61320194734731,1091.0149329767376
60,3721,0.0015291304928225699,129931730.21668406,84970988955.198654,0.0032336382178758086,1974509.7515642634,610615541.54358292,0.65547781791585358,4249.6965476806154,6483.3567689489173,0.65525862943365432,11.991991637060439,18.301157891541575,40602867016.677422,274523212.96068794,1281139025.6824307,1082790.6203587118,2988323.2634168193,2123558.8882523617,681.02472482127041,1125.2465209753655
